HP3Item,Category,Word,Word WF,Alternate form,Alternate form WF
45,Type of wizard,squib,"defaultdict(<class 'list'>, {2: [(9, 5), (11, 1)], 5: [(2, 2), (8, 2), (28, 1)], 6: [(10, 1), (19, 1), (30, 1)], 7: [(8, 5), (11, 1), (18, 2)]})",,"defaultdict(<class 'list'>, {})"
46,Type of wizard,muggles,"defaultdict(<class 'list'>, {1: [(1, 6), (4, 1), (5, 4), (6, 3), (9, 2), (14, 2), (17, 1)], 2: [(1, 1), (2, 1), (3, 5), (4, 4), (5, 6), (7, 1), (11, 1), (12, 1), (14, 1), (17, 1)], 3: [(1, 6), (3, 6), (4, 2), (5, 1), (7, 1), (8, 1), (10, 4), (12, 2), (13, 1), (17, 1), (22, 1)], 4: [(1, 2), (2, 1), (3, 3), (4, 1), (5, 1), (6, 5), (7, 5), (8, 1), (9, 5), (26, 1), (27, 2), (28, 1), (30, 1), (33, 1), (35, 3), (36, 1)], 5: [(1, 1), (3, 2), (4, 2), (6, 1), (7, 2), (8, 4), (10, 2), (11, 1), (19, 1), (20, 2), (21, 1), (22, 4), (24, 1), (25, 1), (29, 1)], 6: [(1, 7), (5, 1), (6, 1), (10, 3), (13, 2), (16, 1), (17, 1)], 7: [(1, 2), (2, 1), (3, 1), (4, 1), (7, 1), (10, 2), (12, 2), (15, 2), (16, 2), (17, 3), (18, 5), (21, 2), (22, 3), (23, 1), (26, 1), (28, 1), (29, 1), (35, 2)]})",,"defaultdict(<class 'list'>, {})"
47,Magical creature--Lovegood,nargles,"defaultdict(<class 'list'>, {5: [(21, 4)], 7: [(22, 1)]})",,"defaultdict(<class 'list'>, {})"
47,Magical creature--Lovegood,wrackspurts,"defaultdict(<class 'list'>, {7: [(22, 1)]})",,"defaultdict(<class 'list'>, {})"
48,Type of wizard pet,owl,"defaultdict(<class 'list'>, {1: [(1, 5), (4, 6), (5, 13), (6, 7), (9, 2), (10, 1), (12, 2), (13, 1), (14, 2), (16, 2), (17, 3)], 2: [(1, 3), (2, 3), (3, 3), (4, 2), (5, 2), (6, 1), (16, 1)], 3: [(1, 7), (3, 2), (4, 5), (5, 2), (14, 3), (15, 1), (22, 14)], 4: [(2, 2), (3, 9), (5, 2), (7, 1), (10, 3), (13, 2), (14, 1), (15, 3), (18, 7), (20, 1), (22, 1), (23, 2), (24, 2), (26, 5), (27, 1), (28, 7), (29, 10), (30, 1), (31, 2)], 5: [(1, 1), (2, 11), (3, 1), (4, 3), (6, 1), (7, 1), (8, 1), (9, 3), (10, 5), (12, 1), (14, 9), (15, 2), (17, 4), (18, 3), (21, 1), (23, 1), (25, 1), (26, 4), (27, 1), (28, 1), (31, 2)], 6: [(3, 5), (4, 1), (5, 2), (6, 2), (7, 2), (8, 1), (10, 1), (11, 3), (15, 1), (21, 1)], 7: [(2, 3), (3, 1), (4, 4), (5, 2), (18, 3), (19, 1), (20, 1), (21, 1), (25, 1), (33, 1), (36, 2)]})",,"defaultdict(<class 'list'>, {})"
48,Type of wizard pet,toad,"defaultdict(<class 'list'>, {1: [(5, 2), (6, 8), (7, 2), (10, 1), (16, 2), (17, 1)], 2: [(13, 2), (16, 1)], 3: [(5, 1), (7, 4), (11, 1)], 4: [(14, 2), (20, 1)], 5: [(8, 1), (10, 3), (12, 1), (13, 1), (15, 1), (19, 1), (23, 1), (28, 1), (32, 1)], 6: [(7, 1)], 7: [(11, 1)]})",,"defaultdict(<class 'list'>, {})"
49,Magical ability,Parselmouth,"defaultdict(<class 'list'>, {2: [(11, 3), (16, 1)], 4: [(31, 1), (36, 1)], 6: [(13, 1), (23, 1)]})",Parseltongue,"defaultdict(<class 'list'>, {2: [(11, 3), (16, 3), (17, 1), (18, 4)], 4: [(31, 3)], 6: [(10, 7), (17, 2)], 7: [(17, 2), (19, 1), (22, 1), (27, 1), (31, 1), (32, 1)]})"
50,Potion,Polyjuice,"defaultdict(<class 'list'>, {2: [(9, 2), (10, 2), (11, 2), (12, 6)], 4: [(25, 2), (27, 1), (35, 7)], 5: [(31, 1)], 6: [(3, 1), (9, 1), (21, 3), (24, 1)], 7: [(4, 1), (5, 1), (6, 1), (8, 1), (9, 1), (12, 4), (14, 1), (16, 2), (25, 1), (33, 1)]})",,"defaultdict(<class 'list'>, {})"
50,Potion,Veritaserum,"defaultdict(<class 'list'>, {4: [(27, 1), (35, 2), (36, 1)], 5: [(3, 1), (29, 1), (32, 2), (37, 1)], 6: [(9, 1), (17, 3), (21, 1)], 7: [(18, 1)]})",,"defaultdict(<class 'list'>, {})"
51,Magical artifact--detector,revealer,"defaultdict(<class 'list'>, {2: [(13, 1)]})",,"defaultdict(<class 'list'>, {})"
